,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Major,Image,Name,Title
46,,36.0,Mandel Eugene Jr.,LB,6-1,215.0,R-Fr.,"La Place, La. / St. Charles Catholic",Tulane,,,,
47,,37.0,Macon Clark,S,6-1,205.0,Sr.,"St. Rose, La. / Destrehan HS",Tulane,Health & Wellness,,,
48,,38.0,Josh Coltrin,RB,6-2,222.0,R-So.,"Houston, Texas / Manvel",Tulane,Engineering Physics,,,
49,,39.0,Trevor Evans,WR,5-10,173.0,R-Fr.,"Baton Rouge, La. / University Laboratory School",Tulane,,,,
50,,39.0,Brandon Kim,DB,5-10,180.0,R-Fr.,"Lawrenceville, N.J. / Lawrenceville School",Tulane,,,,
51,,40.0,George Arata,RB,6-0,189.0,Fr.,"Bogalusa, LA / Pope John Paul II",Tulane,,,,
52,,40.0,Taylor Love,LB,6-0,220.0,Fr.,"Opelika, Alabama / Opelika",Tulane,,,,
53,,41.0,Kriston Esnard,K,5-10,182.0,R-Fr.,"Decatur, Ga. / Decatur",Tulane,,,,
54,,41.0,Michael Lavergne,WR,5-10,152.0,R-Fr.,"Lake Charles, La. / St. Louis Catholic",Tulane,,,,
55,,42.0,Lucas Barisas,RB,5-9,185.0,R-Fr.,"Arlington Heights, Ill. / Saint Viator High School",Tulane,,,,
56,,43.0,Valentino Ambrosio,K,5-9,160.0,R-Jr.,"Cranford, NJ / Cranford",Tulane,,,,
57,,43.0,Rishi Rattan,DB,5-9,172.0,So.,"Shawnee, Kan. / Bishop Miege",Tulane,Undeclared Business,,,
58,,44.0,Michael Lunz,DL,6-2,225.0,R-Fr.,"Radcliff, Ky. / North Hardin",Tulane,,,,
